player_name,team_name,position,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalShots,totwAppearances,touches,wasFouled,yellowCards,goals_per90,assists_per90,expectedGoals_per90,expectedAssists_per90,keyPasses_per90,successfulDribbles_per90,tacklesWon_per90,interceptions_per90,ballRecovery_per90,aerialDuelsWon_per90,dribbledPast_per90,saves_per90,goalsPrevented_per90,finishing,creative_efficiency,defensive_efficiency,impact_score,cluster,pca1,pca2,xg_difference,offensive_overperformance,defensive_overperformance,midfield_overperformance,goalkeeper_overperformance,true_overperformance,rating_norm,goals_per90_norm,assists_per90_norm,keyPasses_per90_norm,expectedGoals_per90_norm,expectedAssists_per90_norm,true_overperformance_norm
Declan Rice,Arsenal,M,41,28.08219178,459,72,48.64864865,891,687,1578,87.8130217,44,72.13114754,17,30,5,154,14,3,10,10,65,15,12,77,1,0,6.0731214,2.8732,20,0,11.11111111,4,9,21,15,6,3,1,0.0,77,56.20437956,1,0,0,219,30,59,0,29,2585,1,0,1,0,0,0.0,0,0,0,0,406,11,0,7.49,0,3,0,0,0,0,0,646.25,0.0,5,13,23,14,12,12,48.0,57,31,54.38596491,58,25,146,121,61.11111111,148,1054,743,1797,36,3,2327,8,2,0.13926499032882012,0.17408123791102514,0.1000340425531915,0.21144329825918762,2.054158607350097,0.41779497098646035,1.079303675048356,1.0444874274661509,5.361702127659575,1.5319148936170213,0.41779497098646035,0.0,0.0,1.1267999999999998,-1.0731213999999998,114,0.4836279023352857,0,1.1811599408439502,1.0767593436664114,1.1267999999999998,0.37561502,0.934816247582205,15.284195124052223,2.5,6.4508873071373305,0.9559633027522931,0.17007209425004396,0.2946083172147002,0.5507133692092615,0.12792219122757537,0.46632181222326363,0.8502575197748907
Gabriel Magalhães,Arsenal,D,1,20.0,180,63,46.32352941,512,747,1259,88.72445384,87,66.92307692,43,25,4,46,5,3,6,13,149,2,4,62,1,2,1.73381605,1.8798,14,0,16.66666667,3,7,15,10,5,3,0,0.0,60,75.94936709,1,0,1,160,18,6,2,24,2166,0,0,0,0,0,0.0,0,0,0,0,181,2,0,7.368,0,0,0,0,0,0,0,722.0,0.0,0,14,4,7,5,1,50.0,32,16,50.0,6,2,5,147,70.33492823,136,622,797,1419,18,5,1747,27,3,0.12465373961218837,0.16620498614958448,0.07810803324099723,0.07204221814404432,0.24930747922437674,0.04155124653739612,0.6648199445983379,0.7479224376731303,1.9113573407202216,3.6149584487534625,0.16620498614958448,0.0,0.0,1.1202,2.2661839500000003,179,0.37425367239984686,1,-0.35931266750426044,-0.5905980626098499,1.1202,2.7065287650000003,1.155124653739612,13.891775583444597,3.25,4.571998002854917,0.866422018348624,0.15222865776882397,0.28127885503231764,0.06683853980965965,0.09988350475141208,0.1580202392633094,0.6641797313766176
Bukayo Saka,Arsenal,F,36,32.43243243,300,14,36.84210526,419,105,524,76.72035139,22,44.89795918,27,27,3,105,9,8,22,7,10,29,15,140,0,1,5.76195133,6.9941,28,0,9.523809524,6,9,16,11,5,6,0,0.0,136,54.6184739,1,0,1,159,14,54,3,22,2001,14,0,2,1,0,100.0,0,1,0,0,362,25,0,7.214814815,0,2,0,0,0,0,0,333.5,0.0,2,47,16,15,26,49,53.26086957,36,17,47.22222222,52,92,111,158,53.02013423,38,557,126,683,63,4,1236,51,1,0.2698650674662669,0.13493253373313344,0.3145772113943029,0.2591582307346327,2.428785607196402,2.2038980509745127,0.7646176911544228,0.6296851574212894,4.72263868065967,0.9895052473763118,0.6746626686656672,0.0,0.0,-0.9941000000000004,-2.7619513299999996,26,0.4921594573992482,0,3.2121878460983964,0.28697553103210366,-0.9941000000000004,-2.927465931,0.553223388305847,13.603576898867317,1.75,-0.0997405745893177,0.7539925247706423,0.32956249148153194,0.2283545727136432,0.6511496726884084,0.4022771165168267,0.5718488908062056,0.20150916292728388
Martín Zubimendi,Arsenal,M,2,18.18181818,369,48,49.48453608,833,661,1494,88.19362456,59,68.60465116,27,31,1,99,1,2,7,10,64,9,17,84,2,2,2.18562559,2.7812,27,0,19.23076923,5,6,20,15,5,3,2,0.0,68,54.4,2,0,2,200,34,16,0,30,2604,0,0,0,0,0,0.0,0,0,0,0,258,6,0,7.087096774,0,3,0,0,0,0,0,520.8,0.0,0,19,7,10,9,6,50.0,54,30,55.55555556,16,12,11,127,60.18957346,97,985,709,1694,26,2,2026,10,4,0.1728110599078341,0.03456221198156682,0.09612442396313366,0.07554005495391705,0.5529953917050692,0.2073732718894009,1.0368663594470047,1.1751152073732718,3.421658986175115,2.0391705069124426,0.5875576036866359,0.0,0.0,2.2188,-1.18562559,111,0.29706515024888014,1,-0.8321855672493292,0.19062093302611302,2.2188,1.3888620870000001,1.0351382488479264,14.296891831379032,2.5,6.481329217121198,0.6602545130275228,0.21103896103896103,0.05849174347158219,0.14825630028440634,0.1229226234390565,0.1657561089534887,0.8532723665098775
Martin Ødegaard,Arsenal,M,5,25.0,228,32,56.14035088,373,164,537,85.10301109,2,28.57142857,5,20,5,51,5,0,4,2,6,10,10,43,0,1,2.92470393,1.0108,7,0,5.0,1,6,11,8,3,0,1,0.0,33,46.47887324,0,0,0,94,7,31,1,13,1078,2,0,1,0,0,0.0,0,0,0,0,148,14,0,6.995,0,0,0,0,0,0,0,1078.0,0.0,0,9,11,9,7,9,45.0,17,6,35.29411765,30,20,20,35,44.87179487,57,455,176,631,20,2,770,7,0,0.08348794063079777,0.4174397031539889,0.08438961038961038,0.24417750807050095,2.588126159554731,0.75139146567718,0.5009276437847866,0.5844155844155845,4.257884972170686,0.16697588126159554,0.8348794063079777,0.0,0.0,-0.01079999999999992,2.07529607,9,0.45945091547199657,0,3.302997333004972,0.6512920944985082,-0.01079999999999992,1.4419072489999998,0.2588126159554731,14.79681143940445,0.5,6.547249998552876,0.5926605504587155,0.10195648507336819,0.706458719851577,0.6938683664284796,0.10791630131452591,0.5387172941384196,0.8598009007829369
Eberechi Eze,Arsenal,F,2,18.18181818,184,13,39.39393939,303,134,437,84.20038536,8,26.66666667,22,26,2,61,4,1,19,2,10,16,4,73,0,0,2.23044189,3.7507,16,0,12.24489796,6,8,10,7,3,6,0,0.0,69,57.5,0,0,0,82,8,13,1,17,1504,1,0,0,0,0,0.0,0,0,0,0,149,15,0,6.992307692,0,5,0,0,0,0,0,250.6666667,0.0,0,29,20,14,16,23,57.5,16,12,75.0,13,40,11,77,51.33333333,33,372,147,519,49,2,760,30,1,0.3590425531914893,0.11968085106382978,0.22444348404255318,0.1334705918218085,0.7779255319148937,1.3763297872340425,0.7180851063829786,0.4787234042553191,3.6502659574468086,0.4787234042553191,0.23936170212765956,0.0,0.0,2.2493,-0.23044188999999982,26,0.38731622103295904,2,1.4155378768717932,-0.9384428421005242,2.2493,2.087990677,0.4547872340425531,13.848265877487368,0.5,3.6887116127773605,0.5906845445871554,0.4384671179883945,0.2025432180851064,0.20855935327575312,0.2870153155132961,0.29387617534058835,0.5767025300250997
William Saliba,Arsenal,D,4,44.44444444,221,44,48.35164835,589,1034,1623,92.68989149,60,54.05405405,51,25,0,96,0,2,1,11,102,6,6,83,0,2,0.90453671,0.8575,17,0,20.0,1,1,16,11,5,1,0,0.0,48,60.0,1,0,0,128,14,7,0,24,2075,1,0,0,0,0,0.0,0,0,0,0,156,2,0,6.991666667,0,0,0,0,0,0,0,2075.0,0.0,0,5,0,3,1,4,57.14285714,29,17,58.62068966,7,7,9,108,56.54450262,91,674,1077,1751,5,0,1990,15,1,0.043373493975903614,0.0,0.03719277108433735,0.03923291754216868,0.3036144578313253,0.17349397590361446,0.7373493975903614,0.6072289156626506,4.163855421686747,2.602409638554217,0.26024096385542167,0.0,0.0,0.14249999999999996,-0.90453671,127,0.20727215118626585,1,-1.381617653681557,-0.6759187825134538,0.14249999999999996,-0.490675697,0.9216867469879517,15.060520868548192,2.75,4.244540910779819,0.5902140675229353,0.052968236582694415,0.0,0.08139806751759514,0.04756161656072396,0.08545868540074783,0.6317496721124636
David Raya,Arsenal,G,0,0.0,72,163,35.28138528,133,471,604,66.51982379,7,87.5,1,31,0,258,0,0,0,15,30,0,0,1,1,3,0.10104617,0.0,0,0,0.0,0,0,22,16,6,0,0,-0.8838,11,100.0,0,29,0,304,1,3,0,31,2790,0,0,0,0,0,0.0,0,0,0,0,312,0,8,6.929032258,0,0,36,13,50,0,10,0.0,0.0,0,0,0,0,0,1,100.0,1,1,100.0,3,1,0,18,94.73684211,462,403,505,908,0,2,1197,9,1,0.0,0.0,0.0,0.0032595538709677425,0.0967741935483871,0.03225806451612903,0.03225806451612903,0.03225806451612903,8.32258064516129,0.22580645161290322,0.0,1.6129032258064515,-0.02850967741935484,0.0,-0.10104617,32,0.1671648856072362,0,-1.8748942013029355,-1.9885348151490425,0.0,-0.070732319,0.06612903225806452,12.093304585999999,4.3851829032258065,4.3851829032258065,0.5442438590825684,0.0,0.0,0.025944852549771108,0.0,0.005899440986493588,0.6456783005051143
Piero Hincapié,Arsenal,D,4,14.28571429,146,20,35.71428571,324,338,662,89.21832884,30,51.72413793,28,21,2,55,2,0,1,3,75,4,11,62,0,0,1.34832156,0.3286,16,0,50.0,1,3,16,12,4,1,0,0.0,55,61.79775281,0,0,0,80,20,12,1,17,1504,0,1,0,0,0,0.0,0,0,0,0,146,3,0,6.919047619,0,0,0,0,0,0,0,1504.0,0.0,0,1,1,0,1,5,45.45454545,39,21,53.84615385,12,11,28,85,57.82312925,56,378,364,742,2,1,1091,12,2,0.05984042553191489,0.11968085106382978,0.019663563829787234,0.08068413590425533,0.7180851063829786,0.2992021276595745,1.2566489361702127,1.196808510638298,3.291223404255319,1.7952127659574468,0.6582446808510638,0.0,0.0,0.6714,0.65167844,105,0.25124481103793467,1,-0.47019620876841633,0.9549729390589178,0.6714,1.127574908,1.0591755319148937,14.477055998273935,0.75,4.42390555491742,0.536915683669724,0.07307785299806575,0.2025432180851064,0.19251632610069516,0.025145501553755063,0.17713283750618478,0.6495132392485887
Cristhian Mosquera,Arsenal,D,0,0.0,62,6,37.5,151,254,405,91.21621622,11,37.93103448,18,14,0,23,0,0,0,1,32,0,3,30,0,1,0.49156338,0.0,8,0,0.0,0,0,5,4,1,0,0,0.0,26,68.42105263,0,0,0,39,8,3,0,6,678,1,0,0,0,0,0.0,0,0,0,0,49,0,0,6.916666667,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,23,15,65.2173913,3,1,0,37,55.2238806,16,169,275,444,0,0,546,3,2,0.0,0.0,0.0,0.06525177610619469,0.39823008849557523,0.0,1.991150442477876,1.0619469026548671,3.0530973451327434,1.4601769911504425,0.39823008849557523,0.0,0.0,0.0,-0.49156338,52,0.1765650912256859,1,-1.6609583761277191,1.3702794952890798,0.0,-0.344094366,1.247787610619469,14.601400244283187,0.25,4.347408472542478,0.535168195963303,0.0,0.0,0.10676421624463332,0.0,0.14300239320621116,0.6419372698315473
